RegionID,SizeRank,RegionName,RegionType,StateName,BaseDate,2022-09-30,2022-11-30,2023-08-31
395119,234,"St. George, UT",msa,UT,2022-08-31,-1.0,-3.1,1.5
394386,235,"Billings, MT",msa,MT,2022-08-31,0.7,0.5,2.1
394860,236,"Midland, TX",msa,TX,2022-08-31,-0.1,-1.2,-2.2
394539,237,"Dover, DE",msa,DE,2022-08-31,0.1,-0.2,1.5
394651,238,"Greenville, NC",msa,NC,2022-08-31,0.6,0.1,2.8
394406,239,"Bowling Green, KY",msa,KY,2022-08-31,1.1,1.4,1.5
394559,240,"El Centro, CA",msa,CA,2022-08-31,1.9,1.6,5.5
394729,241,"Joplin, MO",msa,MO,2022-08-31,0.8,0.8,3.2
395162,242,"Torrington, CT",msa,CT,2022-08-31,0.3,0.4,2.1
394712,243,"Jackson, TN",msa,TN,2022-08-31,0.1,0.0,3.3
395018,244,"Redding, CA",msa,CA,2022-08-31,-0.4,-2.0,-0.9
394748,245,"Kingston, NY",msa,NY,2022-08-31,-0.5,-0.6,3.6
395246,246,"Yuba City, CA",msa,CA,2022-08-31,-0.1,-0.6,2.2
394707,247,"Iowa City, IA",msa,IA,2022-08-31,0.5,-0.2,-1.1
394896,248,"Muskegon, MI",msa,MI,2022-08-31,0.6,1.1,5.7
394299,249,"Abilene, TX",msa,TX,2022-08-31,0.4,0.6,1.8
394944,250,"Oshkosh, WI",msa,WI,2022-08-31,0.0,-0.3,1.5
394428,251,"Burlington, NC",msa,NC,2022-08-31,0.3,0.3,5.0
394960,252,"Panama City, FL",msa,FL,2022-08-31,0.3,0.1,3.6
753869,253,"Bloomington, IL",msa,IL,2022-08-31,0.1,-0.3,-0.3
394480,254,"Coeur d'Alene, ID",msa,ID,2022-08-31,-0.9,-1.7,4.5
394553,255,"East Stroudsburg, PA",msa,PA,2022-08-31,0.0,0.1,5.8
394555,256,"Eau Claire, WI",msa,WI,2022-08-31,0.2,-0.4,1.9
395007,257,"Pueblo, CO",msa,CO,2022-08-31,0.2,0.4,5.9
394671,258,"Hattiesburg, MS",msa,MS,2022-08-31,0.1,-0.8,-1.1
394393,259,"Bloomington, IN",msa,IN,2022-08-31,0.4,0.4,2.8
395210,260,"Waterloo, IA",msa,IA,2022-08-31,0.5,0.0,-1.0
394731,261,"Kahului, HI",msa,HI,2022-08-31,1.1,0.8,3.7
394930,262,"Odessa, TX",msa,TX,2022-08-31,0.1,-1.1,-4.1
394392,263,"Blacksburg, VA",msa,VA,2022-08-31,0.2,-0.5,0.0
394351,264,"Auburn, AL",msa,AL,2022-08-31,0.7,0.7,3.4
395170,265,"Tupelo, MS",msa,MS,2022-08-31,0.0,-0.9,-1.1
395215,266,"Wausau, WI",msa,WI,2022-08-31,0.3,0.1,1.2
394720,267,"Janesville, WI",msa,WI,2022-08-31,-0.2,-0.7,1.5
395079,268,"Sebastian, FL",msa,FL,2022-08-31,0.4,-0.1,3.8
395125,269,"State College, PA",msa,PA,2022-08-31,0.4,-0.1,-0.4
394814,270,"Madera, CA",msa,CA,2022-08-31,-0.2,-0.5,2.5
394710,271,"Jackson, MI",msa,MI,2022-08-31,0.0,-0.3,2.5
394453,272,"Chambersburg, PA",msa,PA,2022-08-31,-0.1,-0.6,0.5
394639,273,"Grand Junction, CO",msa,CO,2022-08-31,-0.4,-1.0,2.3
394703,274,"Idaho Falls, ID",msa,ID,2022-08-31,0.1,0.3,6.8
394563,275,"Elizabethtown, KY",msa,KY,2022-08-31,0.7,0.9,3.0
394917,276,"Niles, MI",msa,MI,2022-08-31,0.0,0.1,2.2
